,mag,time,num_1,scale_1,num_2,scale_2,num_3,scale_3,num_4,scale_4,num_5,scale_5,num_6,scale_6,num_7,scale_7,num_8,scale_8,num_9,scale_9,num_10,scale_10,num_11,scale_11,num_12,scale_12,num_13,scale_13,num_14,scale_14
45,5.3,2015-12-03 22:30:00,0.0,0.0,0.0,0.0,9.0,0.03125,25.0,0.06510416666666667,0.0,0.0,,,,,,,,,,,,,,,,,,
46,5.3,2016-01-11 12:45:00,5.0,0.052083333333333336,6.0,0.03125,0.0,0.0,5.0,0.013020833333333334,0.0,0.0,2.0,0.003472222222222222,5.0,0.00744047619047619,6.0,0.0078125,4.0,0.004629629629629629,,,,,,,,,,
47,5.8,2016-01-19 10:00:00,9.0,0.09375,5.0,0.026041666666666668,9.0,0.03125,0.0,0.0,20.0,0.041666666666666664,2.0,0.003472222222222222,31.0,0.046130952380952384,,,,,,,,,,,,,,
48,6.7,2016-02-02 22:15:00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
49,6.6,2016-02-06 03:45:00,43.0,0.4479166666666667,15.0,0.078125,,,,,,,,,,,,,,,,,,,,,,,,
50,5.1,2016-02-09 08:45:00,29.0,0.3020833333333333,6.0,0.03125,8.0,0.027777777777777776,,,,,,,,,,,,,,,,,,,,,,
51,5.7,2016-04-11 13:45:00,17.0,0.17708333333333334,14.0,0.07291666666666667,1.0,0.003472222222222222,,,,,,,,,,,,,,,,,,,,,,
52,5.2,2016-04-16 18:45:00,20.0,0.20833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5.3,2016-04-26 02:00:00,10.0,0.10416666666666667,0.0,0.0,10.0,0.034722222222222224,8.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.01171875,0.0,0.0,,,,,,,,,,
54,5.7,2016-04-27 23:15:00,3.0,0.03125,,,,,,,,,,,,,,,,,,,,,,,,,,
55,6.1,2016-05-12 11:15:00,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
56,5.2,2016-05-13 16:15:00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
57,5.2,2016-05-18 08:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
58,5.3,2016-05-22 04:45:00,0.0,0.0,25.0,0.13020833333333334,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
59,6.9,2016-05-31 13:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.027083333333333334,4.0,0.006944444444444444,5.0,0.00744047619047619,0.0,0.0,0.0,0.0,,,,,,,,,,
60,5.1,2016-06-20 08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,6.1,2016-06-24 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
62,6.2,2016-10-06 23:45:00,12.0,0.125,25.0,0.13020833333333334,13.0,0.04513888888888889,16.0,0.041666666666666664,11.0,0.022916666666666665,38.0,0.06597222222222222,8.0,0.011904761904761904,,,,,,,,,,,,,,
63,5.3,2016-10-25 12:45:00,9.0,0.09375,0.0,0.0,2.0,0.006944444444444444,0.0,0.0,0.0,0.0,1.0,0.001736111111111111,0.0,0.0,10.0,0.013020833333333334,3.0,0.003472222222222222,15.0,0.015625,10.0,0.00946969696969697,,,,,,
64,5.1,2016-11-07 19:45:00,1.0,0.010416666666666666,27.0,0.140625,28.0,0.09722222222222222,37.0,0.09635416666666667,12.0,0.025,4.0,0.006944444444444444,33.0,0.049107142857142856,8.0,0.010416666666666666,20.0,0.023148148148148147,,,,,,,,,,
65,5.3,2016-11-12 06:15:00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
66,5.5,2016-11-25 05:45:00,38.0,0.3958333333333333,42.0,0.21875,41.0,0.1423611111111111,60.0,0.15625,56.0,0.11666666666666667,26.0,0.04513888888888889,41.0,0.06101190476190476,38.0,0.049479166666666664,35.0,0.04050925925925926,26.0,0.027083333333333334,24.0,0.022727272727272728,29.0,0.025173611111111112,,,,
67,5.1,2016-11-30 20:00:00,23.0,0.23958333333333334,40.0,0.20833333333333334,20.0,0.06944444444444445,20.0,0.052083333333333336,44.0,0.09166666666666666,,,,,,,,,,,,,,,,,,
68,5.2,2016-12-09 12:00:00,9.0,0.09375,33.0,0.171875,22.0,0.0763888888888889,35.0,0.09114583333333333,35.0,0.07291666666666667,54.0,0.09375,17.0,0.025297619047619048,22.0,0.028645833333333332,,,,,,,,,,,,
69,5.2,2016-12-15 22:00:00,24.0,0.25,41.0,0.21354166666666666,64.0,0.2222222222222222,53.0,0.13802083333333334,47.0,0.09791666666666667,17.0,0.029513888888888888,,,,,,,,,,,,,,,,
70,5.2,2016-12-30 08:30:00,6.0,0.0625,13.0,0.06770833333333333,30.0,0.10416666666666667,47.0,0.12239583333333333,24.0,0.05,29.0,0.050347222222222224,24.0,0.03571428571428571,21.0,0.02734375,13.0,0.015046296296296295,22.0,0.022916666666666665,41.0,0.038825757575757576,32.0,0.027777777777777776,53.0,0.04246794871794872,56.0,0.041666666666666664
71,5.7,2017-02-11 01:00:00,34.0,0.3541666666666667,42.0,0.21875,45.0,0.15625,51.0,0.1328125,1.0,0.0020833333333333333,45.0,0.078125,39.0,0.05803571428571429,28.0,0.036458333333333336,10.0,0.011574074074074073,12.0,0.0125,42.0,0.03977272727272727,48.0,0.041666666666666664,32.0,0.02564102564102564,33.0,0.024553571428571428
72,5.2,2017-02-28 00:15:00,0.0,0.0,18.0,0.09375,0.0,0.0,20.0,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.017708333333333333,0.0,0.0,0.0,0.0,4.0,0.003205128205128205,16.0,0.011904761904761904
73,5.2,2017-03-08 06:00:00,7.0,0.07291666666666667,4.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
74,5.5,2017-04-14 03:30:00,14.0,0.14583333333333334,11.0,0.057291666666666664,5.0,0.017361111111111112,8.0,0.020833333333333332,5.0,0.010416666666666666,0.0,0.0,12.0,0.017857142857142856,5.0,0.006510416666666667,0.0,0.0,0.0,0.0,12.0,0.011363636363636364,4.0,0.003472222222222222,0.0,0.0,,
75,6.0,2017-04-30 09:45:00,0.0,0.0,3.0,0.015625,8.0,0.027777777777777776,15.0,0.0390625,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
76,5.7,2017-05-16 07:00:00,0.0,0.0,0.0,0.0,8.0,0.027777777777777776,14.0,0.036458333333333336,6.0,0.0125,4.0,0.006944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.00744047619047619
77,5.1,2017-05-24 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.019097222222222224,16.0,0.023809523809523808,0.0,0.0,,,,,,,,,,,,
78,5.1,2017-06-04 21:15:00,0.0,0.0,0.0,0.0,6.0,0.020833333333333332,0.0,0.0,26.0,0.05416666666666667,40.0,0.06944444444444445,0.0,0.0,,,,,,,,,,,,,,
79,5.1,2017-07-27 15:00:00,60.0,0.625,37.0,0.19270833333333334,41.0,0.1423611111111111,53.0,0.13802083333333334,37.0,0.07708333333333334,31.0,0.05381944444444445,47.0,0.06994047619047619,29.0,0.037760416666666664,7.0,0.008101851851851851,,,,,,,,,,
80,5.7,2017-08-04 19:15:00,3.0,0.03125,29.0,0.15104166666666666,18.0,0.0625,20.0,0.052083333333333336,41.0,0.08541666666666667,38.0,0.06597222222222222,46.0,0.06845238095238096,26.0,0.033854166666666664,,,,,,,,,,,,
81,5.1,2017-08-13 08:00:00,23.0,0.23958333333333334,10.0,0.052083333333333336,5.0,0.017361111111111112,24.0,0.0625,37.0,0.07708333333333334,23.0,0.03993055555555555,29.0,0.043154761904761904,33.0,0.04296875,,,,,,,,,,,,
82,5.8,2017-09-20 22:15:00,0.0,0.0,31.0,0.16145833333333334,1.0,0.003472222222222222,17.0,0.044270833333333336,0.0,0.0,3.0,0.005208333333333333,0.0,0.0,0.0,0.0,1.0,0.0011574074074074073,17.0,0.017708333333333333,0.0,0.0,,,,,,
83,5.2,2017-10-12 02:45:00,7.0,0.07291666666666667,6.0,0.03125,5.0,0.017361111111111112,25.0,0.06510416666666667,9.0,0.01875,20.0,0.034722222222222224,1.0,0.001488095238095238,13.0,0.016927083333333332,0.0,0.0,0.0,0.0,11.0,0.010416666666666666,0.0,0.0,9.0,0.007211538461538462,,
84,5.1,2017-10-30 07:15:00,12.0,0.125,6.0,0.03125,35.0,0.12152777777777778,1.0,0.0026041666666666665,0.0,0.0,0.0,0.0,1.0,0.001488095238095238,4.0,0.005208333333333333,1.0,0.0011574074074074073,10.0,0.010416666666666666,0.0,0.0,23.0,0.019965277777777776,19.0,0.015224358974358974,2.0,0.001488095238095238
85,5.1,2017-11-03 10:45:00,0.0,0.0,0.0,0.0,1.0,0.003472222222222222,16.0,0.041666666666666664,,,,,,,,,,,,,,,,,,,,
86,5.2,2017-11-11 20:15:00,60.0,0.625,38.0,0.19791666666666666,34.0,0.11805555555555555,,,,,,,,,,,,,,,,,,,,,,
87,5.6,2017-11-22 22:15:00,16.0,0.16666666666666666,8.0,0.041666666666666664,26.0,0.09027777777777778,21.0,0.0546875,25.0,0.052083333333333336,22.0,0.03819444444444445,35.0,0.052083333333333336,10.0,0.013020833333333334,26.0,0.03009259259259259,29.0,0.030208333333333334,48.0,0.045454545454545456,,,,,,
88,5.2,2017-12-08 11:30:00,57.0,0.59375,52.0,0.2708333333333333,40.0,0.1388888888888889,42.0,0.109375,33.0,0.06875,38.0,0.06597222222222222,15.0,0.022321428571428572,21.0,0.02734375,31.0,0.03587962962962963,34.0,0.035416666666666666,39.0,0.036931818181818184,46.0,0.03993055555555555,28.0,0.022435897435897436,24.0,0.017857142857142856
